交易时间,交易标的,交易前仓位,交易后仓位,交易价格,交易仓位,交易方向,交易思路
2025/11/29 00:07,EQT,0.00%,14.55%,60.855,14.55%,B,
2025/11/28 23:28,SNDK,33.99%,30.00%,216.72,-3.99%,S,
2025/11/28 23:28,GDXU,47.54%,40.00%,218.59,-7.54%,S,
2025/11/28 23:28,SQQQ,18.41%,15.00%,69.4,-3.41%,S,
2025/11/28 23:28,MSTR,0.00%,15.00%,185.82,15.00%,B,
2025/11/27 01:20,CWVX,14.31%,0.00%,5.1,-14.31%,S,
2025/11/27 01:20,SNDK,39.78%,35.00%,216.241,-4.78%,S,
2025/11/27 01:20,SQQQ,0.00%,19.10%,69.77,19.10%,B,
2025/11/27 00:41,CWVX,0.00%,15.00%,5.416,15.00%,B,
2025/11/27 00:41,SNDK,45.06%,40.00%,220.275,-5.06%,S,
2025/11/27 00:41,LITE,9.85%,0.00%,301.83,-9.85%,S,
2025/11/26 23:30,SNDK,39.91%,44.80%,214.39,4.89%,B,
2025/11/26 23:30,LITE,0.00%,10.00%,300.08,10.00%,B,
2025/11/26 23:30,VIXY,14.91%,0.00%,32.14,-14.91%,S,
2025/11/26 23:25,SNDK,30.36%,40.00%,213.76,9.64%,B,
2025/11/26 23:25,GDXU,40.17%,45.00%,197.172,4.83%,B,
2025/11/26 23:25,VIXY,29.47%,15.00%,32.17,-14.47%,S,
2025/11/26 23:04,SNDK,48.17%,30.00%,208.35,-18.17%,S,
2025/11/26 23:04,GDXU,51.83%,40.00%,193.67,-11.83%,S,
2025/11/26 23:04,VIXY,0.00%,30.00%,32.298,30.00%,B,
2025/11/26 22:35,SNDK,39.85%,50.00%,224.26,10.15%,B,
2025/11/26 22:35,GDXU,40.75%,50.00%,193.7,9.25%,B,
2025/11/26 22:33,ALB,19.30%,0.00%,123.399,-19.30%,S,
2025/11/25 23:36,SNDK,29.43%,40.00%,216.418,10.57%,B,
2025/11/25 23:36,GDXU,50.48%,40.00%,183.12,-10.48%,S,
2025/11/25 23:36,LITE,19.28%,0.00%,289.66,-19.28%,S,
2025/11/25 23:36,ALB,0.00%,20.00%,122.76,20.00%,B,
2025/11/25 23:05,GDXU,24.84%,50.00%,177.171,25.16%,B,
2025/11/25 23:03,BABA,25.05%,0.00%,158.07,-25.05%,S,
2025/11/25 22:42,GDXU,0.00%,25.00%,181.3,25.00%,B,
2025/11/25 22:42,YINN,25.32%,0.00%,46.29,-25.32%,S,
2025/11/25 21:02,LITE,27.99%,20.00%,289.05,-7.99%,S,
2025/11/25 21:02,BABA,0.00%,25.00%,162.855,25.00%,B,
2025/11/25 21:02,CLS,17.22%,0.00%,326,-17.22%,S,
2025/11/25 00:34,BILI,17.27%,0.00%,26.325,-17.27%,S,
2025/11/25 00:34,CLS,0.00%,17.00%,312.7,17.00%,B,
2025/11/24 22:42,SNDK,21.09%,30.00%,218.94,8.91%,B,
2025/11/24 22:42,BILI,0.00%,17.50%,26.32,17.50%,B,
2025/11/24 22:42,NAIL,32.06%,0.00%,52.67,-32.06%,S,
2025/11/24 22:42,YINN,19.35%,25.00%,45.34,5.65%,B,
2025/11/22 00:54,SNDK,24.32%,20.00%,196.63,-4.32%,S,
2025/11/22 00:54,GOOX,14.76%,0.00%,64.26,-14.76%,S,
2025/11/22 00:54,YINN,0.00%,20.00%,43.07,20.00%,B,
2025/11/22 00:42,GOOX,25.13%,15.00%,64.88,-10.13%,S,
2025/11/22 00:42,NAIL,25.30%,35.00%,54.055,9.70%,B,
2025/11/22 00:25,SNDK,20.22%,24.45%,196.78,4.23%,B,
2025/11/22 00:25,NAIL,19.68%,25.00%,53.345,5.32%,B,
2025/11/22 00:25,LITE,33.86%,25.00%,243.34,-8.86%,S,
2025/11/22 00:00,NAIL,0.00%,20.00%,53.55,20.00%,B,
2025/11/22 00:00,GOOG,20.64%,0.00%,299.655,-20.64%,S,
2025/11/21 22:31,GOOX,0.00%,24.90%,65.615,24.90%,B,
2025/11/21 22:31,LITE,20.05%,35.00%,256.769,14.95%,B,
2025/11/21 22:31,BABA,19.76%,0.00%,151.73,-19.76%,S,
2025/11/21 22:31,GOOG,40.32%,20.00%,300.35,-20.32%,S,
2025/11/21 21:17,GOOG,0.00%,40.00%,297.38,40.00%,B,
2025/11/21 18:43,SNDK,9.78%,20.00%,205.255,10.22%,B,
2025/11/21 18:14,LITE,0.00%,20.00%,255.67,20.00%,B,
2025/11/21 17:58,BABA,60.26%,20.00%,153.28,-40.26%,S,
2025/11/21 02:52,SNDK,19.84%,10.00%,202.39,-9.84%,S,
2025/11/21 02:52,YINN,19.80%,0.00%,43.33,19.80%,S,
2025/11/21 02:15,YINN,0.00%,19.80%,44.11,19.80%,B,
2025/11/21 02:04,BABA,0.00%,60.00%,155.935,60.00%,B,
2025/11/21 01:44,SNDK,29.90%,20.00%,205.998,-9.90%,S,
2025/11/21 01:44,LITE,14.92%,0.00%,247.43,-14.92%,S,
2025/11/21 01:39,SNDK,40.06%,30.00%,207.23,-10.06%,S,
2025/11/21 01:39,LITE,34.90%,15.00%,247.85,-19.90%,S,
2025/11/21 01:39,YINN,25.00%,0.00%,43.66,-25.00%,S,
2025/11/21 01:30,LITE,20.13%,35.00%,251.48,14.87%,B,
2025/11/21 01:30,YINN,0.00%,25.00%,43.76,25.00%,B,
2025/11/21 01:18,SNDK,45.00%,40.00%,208.155,-5.00%,S,
2025/11/21 01:18,LITE,29.73%,20.00%,249.69,-9.73%,S,
2025/11/21 01:13,YINN,25.35%,0.00%,43.615,-25.35%,S,
2025/11/21 00:51,YINN,0.00%,24.80%,44.07,24.80%,B,
2025/11/21 00:46,SNDK,38.99%,45.00%,213.075,6.01%,B,
2025/11/21 00:46,LITE,19.58%,30.00%,256.58,10.42%,B,
2025/11/21 00:38,CLS,20.36%,0.00%,302.33,-20.36%,S,
2025/11/21 00:35,TSLL,20.68%,0.00%,17.52,-20.68%,S,
2025/11/20 23:06,TSLL,0.00%,20.00%,18.238,20.00%,B,
2025/11/20 23:06,SQM,19.93%,0.00%,63.13,-19.93%,S,
2025/11/20 22:58,SNDK,27.06%,39.00%,229.45,11.94%,B,
2025/11/20 22:58,LITE,31.69%,20.00%,281.155,-11.69%,S,
2025/11/20 22:38,NEBX,23.61%,0.00%,45.32,-23.61%,S,
2025/11/20 22:38,LITE,27.80%,31.00%,275.08,3.20%,B,
2025/11/20 22:38,CLS,0.00%,20.00%,320.495,20.00%,B,
2025/11/19 22:30,LITE,28.04%,27.50%,260.17,-0.54%,S,
2025/11/19 21:23,MSTX,28.91%,0.00%,7.485,-28.91%,S,
2025/11/19 00:10,NEBX,0.00%,19.00%,33.65,19.00%,B,
2025/11/19 00:10,BE,19.27%,29.00%,112.001,9.73%,B,
2025/11/18 23:44,MSTX,0.00%,29.30%,7.753,29.30%,B,
2025/11/18 23:44,LITE,28.47%,0.00%,238.545,-28.47%,S,
2025/11/18 23:09,BE,0.00%,20.00%,107.15,20.00%,B,
2025/11/18 23:09,SQM,30.89%,20.00%,57.495,-10.89%,S,
2025/11/18 23:00,SNDK,39.80%,30.00%,236.225,-9.80%,S,
2025/11/18 22:56,SNDK,48.58%,40.00%,237.46,-8.58%,S,
2025/11/18 22:56,LITE,20.13%,29.00%,242.925,8.87%,B,
2025/11/18 22:54,LITE,10.27%,20.00%,242.89,9.73%,B,
2025/11/18 22:54,CSIQ,9.65%,0.00%,27.265,-9.65%,S,
2025/11/18 22:40,LITE,0.00%,10.00%,244.235,10.00%,B,
2025/11/18 22:40,SQM,40.31%,30.00%,58.61,-10.31%,S,
2025/11/17 22:49,SQM,35.38%,39.00%,60.345,3.62%,B,
2025/11/17 22:41,BE,29.24%,0.00%,112.001,-29.24%,S,
2025/11/17 22:41,SQM,0.00%,35.00%,58.88,35.00%,B,
2025/11/17 22:41,CSIQ,19.60%,10.00%,30.86,-9.60%,S,
2025/11/15 00:01,SNDK,68.77%,50.00%,265.769,-18.77%,S,
2025/11/15 00:01,BE,31.23%,30.00%,114.39,-1.23%,S,
2025/11/15 00:01,CSIQ,0.00%,20.00%,31.35,20.00%,B,
2025/11/14 22:34,SNDK,59.86%,70.00%,241.995,10.14%,B,
2025/11/14 22:34,BE,15.15%,30.00%,98.3,14.85%,B,
2025/11/14 22:32,BE,0.00%,15.00%,96.15,15.00%,B,
2025/11/14 22:32,ALB,39.42%,0.00%,109.48,-39.42%,S,
2025/11/14 00:33,ALB,19.80%,40.00%,117.93,20.20%,B,
2025/11/14 00:30,CSIQ,20.48%,0.00%,28.563,-20.48%,S,
2025/11/14 00:21,SNDK,38.92%,59.00%,252.895,20.08%,B,
2025/11/13 23:55,TSEM,20.31%,0.00%,99.52,-20.31%,S,
2025/11/13 22:42,SNDK,42.74%,40.00%,261.497,-2.74%,S,
2025/11/13 22:42,FLNC,8.27%,0.00%,18.147,-8.27%,S,
